config,level,scenario,seed,team,result,wave,lives,kills,draws,spent,coins,maxTowers,maxTier,time
balance.json,grove,idle-2-star,7,deer+deer,Lost,3,0,7,0,0,267,2,1,116.0
balance.json,grove,idle-2-star,7,deer+bat,Lost,3,0,10,0,0,283,2,1,116.0
balance.json,grove,idle-1-star,7,bat+bat,Lost,2,0,2,0,0,213,1,1,80.9
balance.json,grove,idle-2-star,7,bat+bat,Lost,3,0,10,0,0,283,2,1,116.0
balance.json,grove,managed-star,7,falcon+sprout+otter+fox+turtle,Lost,9,0,163,22,1320,41,13,2,381.8
balance.json,grove,managed-no-star,7,falcon+sprout+otter+fox+turtle,Lost,6,0,83,13,780,11,12,2,249.8
balance.json,grove,managed-star,7,fox+otter+falcon+sprout+deer,Won,10,20,208,28,1680,112,14,3,393.6
balance.json,grove,managed-no-star,7,fox+otter+falcon+sprout+deer,Won,10,20,208,28,1680,112,14,3,404.6
balance.json,grove,managed-star,19,falcon+sprout+otter+fox+turtle,Won,10,16,207,28,1680,77,13,3,398.6
balance.json,grove,managed-no-star,19,falcon+sprout+otter+fox+turtle,Won,10,12,204,28,1680,68,13,3,418.6
balance.json,grove,managed-star,19,fox+otter+falcon+sprout+deer,Won,10,20,208,28,1680,112,13,3,379.9
balance.json,grove,managed-no-star,19,fox+otter+falcon+sprout+deer,Won,10,20,208,28,1680,112,13,3,394.7
balance.json,grove,managed-star,41,falcon+sprout+otter+fox+turtle,Lost,9,0,160,22,1320,22,12,2,369.0
balance.json,grove,managed-no-star,41,falcon+sprout+otter+fox+turtle,Lost,7,0,104,15,900,38,12,2,295.6
balance.json,grove,managed-star,41,fox+otter+falcon+sprout+deer,Won,10,20,208,28,1680,112,14,3,355.0
balance.json,grove,managed-no-star,41,fox+otter+falcon+sprout+deer,Won,10,16,207,28,1680,77,14,3,373.1
balance.json,grove,managed-star,73,falcon+sprout+otter+fox+turtle,Lost,10,0,190,26,1560,16,12,3,410.2
balance.json,grove,managed-no-star,73,falcon+sprout+otter+fox+turtle,Lost,7,0,107,15,900,52,12,2,275.3
balance.json,grove,managed-star,73,fox+otter+falcon+sprout+deer,Won,10,20,208,28,1680,112,12,3,360.2
balance.json,grove,managed-no-star,73,fox+otter+falcon+sprout+deer,Won,10,20,208,28,1680,112,12,3,377.2
balance.json,grove,managed-star,101,falcon+sprout+otter+fox+turtle,Lost,9,0,163,22,1320,43,12,2,376.7
balance.json,grove,managed-no-star,101,falcon+sprout+otter+fox+turtle,Lost,7,0,106,15,900,53,12,2,287.4
balance.json,grove,managed-star,101,fox+otter+falcon+sprout+deer,Won,10,20,208,28,1680,112,14,2,358.7
balance.json,grove,managed-no-star,101,fox+otter+falcon+sprout+deer,Won,10,20,208,28,1680,112,14,2,371.3
